# benchmark_trace -pirType Punc -trace=safebrowsing/trace.txt
      Timestamp        NumAdds     NumDeleted     NumQueries ServerTime[us] ClientTime[us]      CommBytes
     1608252461        3124860              0              0        8258136        8836130       21134424
     1608252482              0              0              1            207            459           1499
     1608254245            517            211              0             26         331514           4216
     1608254971              0              0              1            208            309           2043
     1608258033              0              0              1            191            284           2043
     1608258201              0              0              1            187            357           2042
     1608258201              0              0              1            164            313           2043
     1608258606              0              0              1            175            261           2043
     1608259759            166             17              0             17          51491           1426
     1608260401              0              0              1            165            271           2111
     1608261047           1119            186              0             21          57211           7172
     1608265638           1138            182              0             21          54432           7253
     1608267614            413            321              0             29          54756           4249
     1608269422            423            196              0             18          55945           3657
     1608271228            243             67              0             41          56818           2077
     1608272608              0              0              1            177            245           2958
     1608272762              0              0              1            175            265           2955
     1608272841              0              0              1            261            756           2959
     1608273009            327            109              0             25         142339           2723
     1608273438              0              0              1            257            362           3015
     1608305354           4767           3057              0             44          55799          40542
     1608305674              0              0              1            194            337           3682
     1608305927              0              0              1            197            310           3683
     1608307173            188             30              0             16          52400           1606
     1608309003            347             25              0             21          52449           2394
     1608313207            449            897              0             22          53371           7384
     1608313295              0              0              1            207            268           3794
     1608313675              0              0              1            224            285           3795
     1608314554              0              0              1            274            662           3795
     1608314990            310            315              0             27          55061           3692
     1608316781            202             23              0             18          52487           1643
     1608319029            494             63              0             17          53570           3344
     1608340378              0              0              1            214            276           3907
     1608350633           4025           1779              0             47          52376          30221
     1608352655            245             63              0             20          53169           2067
     1608354564              0              0              1            229            291           4327
     1608354642              0              0              1            210            282           4325
     1608354725              0              0              1            212            279           4327
     1608355013              0              0              1            367            343           4327
     1608355208              0              0              1            207           1180           4327
     1608355254            295             42              0             23         240744           2216
     1608355266              0              0              1            216            281           4357
     1608357049            182             21              0             17          52828           1530
     1608357207              0              0              1            214            294           4372
     1608392298           3643           1921              0             37          53791          28983
     1608392484              0              0              1            237            281           4681
     1608392561              0              0              1            225          10987           4681
     1608392847              0              0              1            274            301           4681
     1608392847              0              0              1            275            287           4679
     1608392848              0              0              1            246            286           4681
     1608393142              0              0              1            228            329           4681
     1608393369              0              0              1            236            323           4681
     1608393723              0              0              1            230            272           4681
     1608393763              0              0              1            231            998           4679
     1608393946              0              0              1            261            325           4681
     1608394080            227             44              0             20          54942           1879
     1608394177              0              0              1            283            317           4699
     1608394334              0              0              1            237            302           4699
     1608394457              0              0              1            233            282           4699
     1608394511              0              0              1            257            300           4699
     1608394643              0              0              1            236            419           4699
     1608395012              0              0              1            252            293           4699
     1608395461              0              0              1            243          30401           4699
     1608395919            189             36              0             17          53274           1643
     1608396006              0              0              1            235            322           4714
     1608397012              0              0              1            236            436           4715
     1608397730            225            915              0             25          54464           6329
     1608397765              0              0              1            236            324           4735
     1608397774              0              0              1            222            270           4735
     1608397774              0              0              1            225            277           4734
     1608397883              0              0              1            255            291           4735
     1608397939              0              0              1            229            280           4734
     1608399235              0              0              1            240            292           4735
     1608399548            255            185              0             17          52334           2745
     1608422480           2693            556              0             36          68724          17136
     1608424254            209             29              0             17          56710           1709
     1608426071            169             44              0             19          58214           1579
     1608427891            158             13              0             19         347996           1366
     1608428611              0              0              1            262            302           4998
     1608429226              0              0              1            258            275           5001
     1608429606              0              0              1            533          50050           5001
     1608429670            117              9              0             28          52642           1132
     1608431447            256             50              0             17          52643           2059
     1608432099              0              0              1            243            279           5026
     1608433257            131             19              0             20          52420           1257
     1608435060            157            133              0             17          51964           1976
     1608436834             68             33              0             19          60524           1006
     1608436960              0              0              1            237            285           5053
     1608438318              0              0              1            238            282           5053
     1608438647            280             33              0             16          60839           2094
     1608440434            250             46              0             18         339839           2006
     1608442210            454             64              0             27          61216           3142
     1608443264              0              0              1            272            299           5125
     1608443501              0              0              1            252            312           5125
     1608478050           4502           1487              0             54          54326          31165
     1608479830            113              2              0             17          54723           1077
     1608481455              0              0              1            274            301           5437
     1608481868              0              0              1            255            301           5437
     1608481946            256             34              0             17          52630           1973
     1608482002              0              0              1            279            290           5455
     1608482070              0              0              1            261            317           5455
     1608482142              0              0              1            262            321           5454
     1608482417              0              0              1            260            276           5456
     1608483130              0              0              1            263            316           5452
     1608483284              0              0              1            274            305           5454
     1608483637              0              0              1            268            308           5455
     1608501023           2933           1905              0             45          53411          25267
     1608501051              0              0              1            274            287           5641
     1608501060              0              0              1            257            293           5641
     1608502309              0              0              1            287            293           5643
     1608502461              0              0              1            276            276           5643
     1608503864              0              0              1            274            312           5643
     1608503995              0              0              1            266            288           5642
     1608504009            358            102              0             18          52045           2847
     1608504079              0              0              1            286            308           5662
     1608504815              0              0              1            276            301           5661
     1608505880              0              0              1            292            334           5663
     1608505906              0              0              1            323            309           5663
     1608506154              0              0              1            288            321           5663
     1608506154              0              0              1            292            288           5663
     1608506208            406            236              0             22          52978           3779
     1608506422              0              0              1            274            320           5689
     1608508005            171             44              0             18          53524           1590
     1608509805            306             95              0             17          52405           2544
     1608509873              0              0              1            279            351           5715
     1608510402              0              0              1            275            309           5717
     1608510413              0              0              1            326            314           5715
     1608510457              0              0              1            279            294           5717
     1608510467              0              0              1            361            733           5717
     1608511621            163             29              0             23         165102           1473
     1608512242              0              0              1            347            344           5727
     1608512244              0              0              1            321            323           5724
     1608519461           1131            333              0             25          51733           7989
     1608564530           5812           3880              0             54          55665          50125
