Time,Latency
1614140929,66
1614140929,65
1614140929,65
1614140929,64
1614140929,65
1614140929,66
1614140929,66
1614140929,65
1614140929,65
1614140929,67
1614140929,67
1614140929,67
1614140929,67
1614140929,68
1614140929,67
1614140930,67
1614140930,70
1614140930,70
1614140930,72
1614140930,69
1614140930,72
1614140930,71
1614140930,72
1614140930,71
1614140930,70
1614140930,73
1614140930,71
1614140930,72
1614140930,71
1614140931,75
1614140931,72
1614140931,71
1614140931,71
1614140931,71
1614140931,72
1614140931,74
1614140931,78
1614140931,78
1614140931,75
1614140931,66
1614140931,64
1614140931,64
1614140931,64
1614140932,68
1614140932,69
1614140932,63
1614140932,1141
1614140933,65
1614140933,65
1614140933,64
1614140933,64
1614140933,65
1614140933,64
1614140933,65
1614140933,65
1614140933,64
1614140933,64
1614140934,65
1614140934,65
1614140934,65
1614140934,66
1614140934,65
1614140934,65
1614140934,66
1614140934,66
1614140934,65
1614140934,65
1614140934,65
1614140934,64
1614140934,64
1614140934,64
1614140934,65
1614140934,64
1614140935,64
1614140935,63
1614140935,64
1614140935,64
1614140935,64
1614140935,64
1614140935,65
1614140935,65
1614140935,65
1614140935,67
1614140935,66
1614140935,68
1614140935,67
1614140935,67
1614140935,67
1614140936,65
1614140936,65
1614140936,66
1614140936,67
1614140936,69
1614140936,66
1614140936,68
1614140936,74
1614140936,66
1614140936,1112
1614140937,76
1614140937,67
1614140937,67
1614140937,72
1614140938,75
1614140938,77
1614140938,73
1614140938,67
1614140938,80
1614140938,76
1614140938,78
1614140938,66
1614140938,64
1614140938,65
1614140938,66
1614140938,65
1614140938,77
1614140938,78
1614140939,67
1614140939,63
1614140939,65
1614140939,63
1614140939,64
1614140939,63
1614140939,64
1614140939,64
1614140939,64
1614140939,65
1614140939,65
1614140939,65
1614140939,66
1614140939,65
1614140939,64
1614140940,67
1614140940,65
1614140940,65
1614140940,70
1614140940,64
1614140940,70
1614140940,69
1614140940,70
1614140940,71
1614140940,69
1614140940,66
1614140940,66
1614140940,68
1614140940,67
1614140940,71
1614140941,65
1614140941,65
1614140941,65
1614140941,66
1614140941,68
1614140941,73
1614140941,75
1614140941,75
1614140941,77
1614140941,71
1614140941,74
1614140941,71
1614140941,76
1614140941,75
1614140942,79
1614140942,79
1614140942,76
1614140942,70
1614140942,72
1614140942,78
1614140942,75
1614140942,79
1614140942,71
1614140942,76
1614140942,77
1614140942,76
1614140942,73
1614140943,77
1614140943,69
1614140943,71
1614140943,72
1614140943,83
1614140943,67
1614140943,77
1614140943,75
1614140943,69
1614140943,67
1614140943,70
1614140943,67
1614140943,67
1614140943,67
1614140944,64
1614140944,64
1614140944,63
1614140944,64
1614140944,64
1614140944,64
1614140944,64
1614140944,65
1614140944,65
1614140944,64
1614140944,1133
1614140945,69
1614140945,69
1614140945,69
1614140946,69
1614140946,76
1614140946,68
1614140946,68
1614140946,75
1614140946,76
1614140946,68
1614140946,64
1614140946,69
1614140946,72
1614140946,66
1614140946,67
1614140946,78
1614140946,77
1614140947,72
1614140947,69
1614140947,68
1614140947,74
1614140947,69
1614140947,68
1614140947,72
1614140947,72
1614140947,74
1614140947,72
1614140947,69
1614140947,71
1614140947,73
1614140947,71
1614140948,70
1614140948,71
1614140948,72
1614140948,73
1614140948,78
1614140948,77
1614140948,68
1614140948,67
1614140948,79
1614140948,76
1614140948,74
1614140948,77
1614140948,73
1614140949,75
1614140949,76
1614140949,75
1614140949,75
1614140949,76
1614140949,76
1614140949,76
1614140949,74
1614140949,68
1614140949,74
1614140949,76
1614140949,74
1614140949,76
1614140949,79
1614140950,76
1614140950,75
1614140950,70
1614140950,67
1614140950,72
1614140950,70
1614140950,65
1614140950,66
1614140950,69
1614140950,68
1614140950,66
1614140950,65
1614140950,72
1614140950,77
1614140951,73
1614140951,75
1614140951,72
1614140951,66
1614140951,71
