Time,Latency
1614142669,65
1614142669,64
1614142669,64
1614142669,64
1614142669,64
1614142669,64
1614142669,64
1614142669,65
1614142670,64
1614142670,64
1614142670,64
1614142670,63
1614142670,64
1614142670,64
1614142670,64
1614142670,63
1614142670,64
1614142670,64
1614142670,64
1614142670,67
1614142670,64
1614142670,64
1614142670,64
1614142670,64
1614142671,63
1614142671,64
1614142671,64
1614142671,64
1614142671,65
1614142671,65
1614142671,64
1614142671,65
1614142671,63
1614142671,63
1614142671,63
1614142671,63
1614142671,63
1614142671,64
1614142671,64
1614142672,64
1614142672,64
1614142672,64
1614142672,64
1614142672,64
1614142672,64
1614142672,64
1614142672,64
1614142672,64
1614142672,64
1614142672,64
1614142672,64
1614142672,65
1614142672,64
1614142672,64
1614142672,64
1614142673,64
1614142673,64
1614142673,64
1614142673,64
1614142673,70
1614142673,77
1614142673,74
1614142673,76
1614142673,73
1614142673,74
1614142673,74
1614142673,73
1614142673,74
1614142673,74
1614142674,67
1614142674,71
1614142674,68
1614142674,69
1614142674,155
1614142674,66
1614142674,70
1614142674,69
1614142674,69
1614142674,68
1614142674,65
1614142674,66
1614142674,64
1614142675,64
1614142675,64
1614142675,64
1614142675,65
1614142675,65
1614142675,64
1614142675,65
1614142675,66
1614142675,66
1614142675,65
1614142675,64
1614142675,65
1614142675,64
1614142675,66
1614142675,65
1614142676,1107
1614142677,65
1614142677,66
1614142677,66
1614142677,66
1614142677,65
1614142677,65
1614142677,65
1614142677,64
1614142677,65
1614142677,64
1614142677,65
1614142677,66
1614142677,65
1614142677,65
1614142678,66
1614142678,64
1614142678,64
1614142678,65
1614142678,65
1614142678,66
1614142678,67
1614142678,69
1614142678,67
1614142678,64
1614142678,65
1614142678,65
1614142678,65
1614142678,66
1614142678,67
1614142679,65
1614142679,65
1614142679,65
1614142679,65
1614142679,65
1614142679,64
1614142679,64
1614142679,65
1614142679,64
1614142679,65
1614142679,64
1614142679,65
1614142679,65
1614142679,66
1614142679,64
1614142680,73
1614142680,64
1614142680,65
1614142680,66
1614142680,64
1614142680,64
1614142680,66
1614142680,66
1614142680,65
1614142680,65
1614142680,66
1614142680,67
1614142680,68
1614142680,66
1614142680,66
1614142681,68
1614142681,66
1614142681,65
1614142681,66
1614142681,65
1614142681,65
1614142681,64
1614142681,66
1614142681,67
1614142681,66
1614142681,66
1614142681,66
1614142681,65
1614142681,67
1614142681,65
1614142682,105
1614142682,132
1614142682,92
1614142682,100
1614142682,96
1614142682,90
1614142682,65
1614142682,63
1614142682,83
1614142682,65
1614142682,67
1614142682,68
1614142683,68
1614142683,65
1614142683,64
1614142683,64
1614142683,65
1614142683,64
1614142683,64
1614142683,64
1614142683,64
1614142683,67
1614142683,65
1614142683,68
1614142683,65
1614142683,1071
1614142684,65
1614142685,64
1614142685,64
1614142685,64
1614142685,66
1614142685,67
1614142685,65
1614142685,68
1614142685,74
1614142685,70
1614142685,66
1614142685,66
1614142685,66
1614142685,67
1614142685,66
1614142685,67
1614142686,139
1614142686,65
1614142686,65
1614142686,66
1614142686,65
1614142686,65
1614142686,155
1614142686,65
1614142686,64
1614142686,64
1614142686,65
1614142686,65
1614142686,65
1614142687,64
1614142687,77
1614142687,72
1614142687,72
1614142687,71
1614142687,68
1614142687,74
1614142687,76
1614142687,66
1614142687,70
1614142687,76
1614142687,70
1614142687,72
1614142687,71
1614142688,66
1614142688,73
1614142688,76
1614142688,78
1614142688,76
1614142688,72
1614142688,72
1614142688,74
1614142688,73
1614142688,76
1614142688,74
1614142688,75
1614142688,73
1614142689,75
1614142689,74
1614142689,73
1614142689,69
1614142689,66
1614142689,70
1614142689,68
1614142689,70
1614142689,75
1614142689,194
1614142689,68
1614142689,70
1614142689,67
1614142690,68
1614142690,70
1614142690,65
1614142690,69
1614142690,71
1614142690,70
1614142690,72
1614142690,71
1614142690,72
1614142690,72
1614142690,80
1614142690,79
1614142690,77
1614142691,77
1614142691,79
1614142691,72
1614142691,65
1614142691,70
1614142691,73
1614142691,75
1614142691,72
1614142691,68
1614142691,69
1614142691,74
1614142691,70
1614142691,68
1614142691,74
1614142692,75
1614142692,75
1614142692,76
1614142692,1117
1614142693,72
1614142693,72
1614142693,74
1614142693,70
1614142693,68
1614142693,70
1614142693,74
1614142693,75
1614142693,71
1614142694,72
1614142694,75
1614142694,77
1614142694,75
1614142694,69
1614142694,70
1614142694,75
1614142694,71
1614142694,71
1614142694,73
1614142694,69
1614142694,68
1614142694,71
1614142694,66
1614142695,71
1614142695,72
1614142695,76
1614142695,75
1614142695,76
1614142695,73
1614142695,74
1614142695,71
1614142695,72
1614142695,73
1614142695,68
1614142695,70
1614142695,75
1614142695,77
1614142696,72
1614142696,74
1614142696,73
1614142696,72
1614142696,67
1614142696,76
1614142696,302
1614142696,64
1614142696,65
1614142696,65
1614142696,67
1614142697,67
1614142697,67
1614142697,65
1614142697,66
1614142697,68
1614142697,72
1614142697,70
1614142697,70
1614142697,70
1614142697,70
1614142697,67
1614142697,66
1614142697,72
1614142697,78
1614142698,76
1614142698,75
1614142698,77
1614142698,69
1614142698,70
1614142698,72
1614142698,73
1614142698,76
1614142698,81
1614142698,77
1614142698,102
1614142698,72
1614142698,74
1614142699,76
1614142699,74
1614142699,74
1614142699,76
1614142699,72
1614142699,75
1614142699,74
