Seconds,Latency
1614388293,109
1614388293,93
1614388293,161
1614388293,128
1614388293,185
1614388293,135
1614388293,111
1614388293,152
1614388294,148
1614388294,148
1614388294,137
1614388294,126
1614388294,91
1614388294,137
1614388294,156
1614388295,148
1614388295,144
1614388295,178
1614388295,171
1614388295,184
1614388295,143
1614388296,138
1614388296,133
1614388296,220
1614388296,189
1614388296,141
1614388296,183
1614388297,139
1614388297,178
1614388297,177
1614388297,199
1614388297,178
1614388297,247
1614388298,147
1614388298,132
1614388298,200
1614388298,134
1614388298,196
1614388298,174
1614388299,184
1614388299,156
1614388299,129
1614388299,103
1614388299,152
1614388299,98
1614388299,117
1614388300,144
1614388300,150
1614388300,88
1614388300,106
1614388300,128
1614388300,134
1614388300,133
1614388300,159
1614388301,162
1614388301,102
1614388301,133
1614388301,118
1614388301,94
1614388301,107
1614388301,126
1614388301,109
1614388302,119
1614388302,134
1614388302,88
1614388302,91
1614388302,178
1614388302,110
1614388302,134
1614388302,122
1614388303,130
1614388303,87
1614388303,159
1614388303,101
1614388303,134
1614388303,89
1614388303,118
1614388303,156
1614388304,166
1614388304,120
1614388304,118
1614388304,104
1614388304,147
1614388304,118
1614388304,128
1614388304,110
1614388305,106
1614388305,100
1614388305,91
1614388305,180
1614388305,188
1614388305,194
1614388305,194
1614388306,160
1614388306,145
1614388306,177
1614388306,184
1614388306,176
1614388306,172
1614388307,147
1614388307,175
1614388307,205
1614388307,114
1614388307,125
1614388307,202
1614388308,115
1614388308,114
1614388308,128
1614388308,174
1614388308,304
1614388308,260
1614388309,221
1614388309,201
1614388309,308
1614388309,188
1614388310,157
1614388310,181
1614388310,205
1614388310,151
1614388310,84
1614388310,135
1614388311,126
1614388311,179
1614388311,187
1614388311,113
1614388311,80
1614388311,121
1614388311,87
1614388311,140
1614388312,128
1614388312,171
1614388312,164
1614388312,78
1614388312,177
1614388312,136
1614388312,132
1614388313,197
1614388313,87
1614388313,124
1614388313,162
1614388313,146
1614388313,155
1614388313,101
1614388314,128
1614388314,167
1614388314,147
1614388314,131
1614388314,135
1614388314,97
1614388314,83
1614388314,118
1614388315,115
1614388315,163
1614388315,170
1614388315,108
1614388315,174
1614388315,115
1614388315,128
1614388316,213
1614388316,147
1614388316,103
1614388316,111
1614388316,166
1614388316,198
1614388316,266
1614388317,176
1614388317,107
1614388317,136
1614388317,137
1614388317,189
1614388317,163
1614388318,171
1614388318,126
1614388318,132
1614388318,162
1614388318,183
1614388318,159
1614388319,158
1614388319,166
1614388319,198
1614388319,221
1614388319,194
1614388320,184
1614388320,180
1614388320,158
