Seconds,Latency
1614385240,69
1614385240,69
1614385240,73
1614385240,73
1614385240,72
1614385240,69
1614385240,71
1614385240,71
1614385240,69
1614385240,68
1614385240,69
1614385240,68
1614385240,66
1614385240,66
1614385241,66
1614385241,66
1614385241,66
1614385241,67
1614385241,67
1614385241,66
1614385241,67
1614385241,66
1614385241,68
1614385241,67
1614385241,67
1614385241,66
1614385241,67
1614385241,67
1614385241,67
1614385242,67
1614385242,66
1614385242,67
1614385242,66
1614385242,68
1614385242,67
1614385242,66
1614385242,66
1614385242,66
1614385242,67
1614385242,67
1614385242,68
1614385242,67
1614385242,66
1614385242,67
1614385243,76
1614385243,78
1614385243,80
1614385243,78
1614385243,1123
1614385244,78
1614385244,72
1614385244,77
1614385244,79
1614385244,79
1614385244,77
1614385244,78
1614385245,70
1614385245,75
1614385245,77
1614385245,77
1614385245,80
1614385245,77
1614385245,81
1614385245,77
1614385245,73
1614385245,78
1614385245,76
1614385245,78
1614385245,75
1614385246,80
1614385246,78
1614385246,79
1614385246,70
1614385246,80
1614385246,83
1614385246,78
1614385246,81
1614385246,71
1614385246,75
1614385246,78
1614385246,72
1614385246,71
1614385247,73
1614385247,79
1614385247,77
1614385247,76
1614385247,70
1614385247,74
1614385247,79
1614385247,73
1614385247,79
1614385247,80
1614385247,77
1614385247,85
1614385247,79
1614385248,77
1614385248,75
1614385248,77
1614385248,1093
1614385249,77
1614385249,71
1614385249,76
1614385249,75
1614385249,77
1614385249,69
1614385249,67
1614385249,67
1614385249,67
1614385249,67
1614385250,68
1614385250,67
1614385250,71
1614385250,67
1614385250,66
1614385250,67
1614385250,67
1614385250,66
1614385250,68
1614385250,69
1614385250,70
1614385250,68
1614385250,68
1614385250,71
1614385251,67
1614385251,70
1614385251,72
1614385251,69
1614385251,71
1614385251,72
1614385251,73
1614385251,79
1614385251,76
1614385251,76
1614385251,79
1614385251,81
1614385251,74
1614385251,81
1614385252,71
1614385252,77
1614385252,79
1614385252,71
1614385252,70
1614385252,78
1614385252,77
1614385252,75
1614385252,78
1614385252,76
1614385252,76
1614385252,1074
1614385253,70
1614385254,72
1614385254,69
1614385254,68
1614385254,80
1614385254,74
1614385254,70
1614385254,76
1614385254,77
1614385254,80
1614385254,76
1614385254,77
1614385254,70
1614385254,69
1614385255,75
1614385255,68
1614385255,81
1614385255,76
1614385255,77
1614385255,70
1614385255,75
1614385255,79
1614385255,76
1614385255,78
1614385255,75
1614385255,85
1614385255,79
1614385256,70
1614385256,79
1614385256,78
1614385256,79
1614385256,68
1614385256,72
1614385256,82
1614385256,78
1614385256,77
1614385256,78
1614385256,76
1614385256,78
1614385256,78
1614385257,75
1614385257,74
1614385257,78
1614385257,79
1614385257,78
1614385257,78
1614385257,77
1614385257,78
1614385257,78
1614385257,1145
1614385258,74
1614385258,70
1614385259,77
1614385259,71
1614385259,76
1614385259,77
1614385259,82
1614385259,74
1614385259,76
1614385259,74
1614385259,78
1614385259,77
1614385259,70
1614385259,71
1614385259,76
1614385260,78
1614385260,78
1614385260,77
1614385260,74
1614385260,75
1614385260,75
1614385260,74
1614385260,73
1614385260,77
1614385260,77
1614385260,77
1614385260,78
1614385260,79
1614385261,79
1614385261,76
1614385261,80
1614385261,79
1614385261,73
1614385261,71
1614385261,81
1614385261,76
1614385261,78
1614385261,77
1614385261,76
1614385261,84
1614385261,72
1614385262,79
1614385262,80
1614385262,75
