Seconds,Workers,Queries,Latency,Errors
1614217067,75,12651,186.27,0
1614217068,75,12759,186.67,0
1614217069,75,12864,188.58,0
1614217070,75,12977,186.71,0
1614217071,100,13081,200.54,0
1614217072,100,13200,259.98,0
1614217073,100,13356,257.79,0
1614217074,100,13496,225.71,0
1614217075,100,13633,202.86,0
1614217076,100,13773,202.78,0
1614217077,100,13925,200.70,0
1614217078,100,14059,194.02,0
1614217079,100,14203,191.74,0
1614217080,100,14351,197.97,0
1614217081,100,14483,216.50,0
1614217082,100,14621,236.12,0
1614217083,100,14770,209.07,0
1614217084,100,14910,195.79,0
1614217085,100,15046,195.01,0
1614217086,100,15200,202.03,0
1614217087,100,15340,199.65,0
1614217088,100,15478,204.39,0
1614217089,100,15622,198.74,0
1614217090,100,15765,197.18,0
1614217091,100,15910,192.06,0
1614217092,100,16053,210.42,0
1614217093,100,16187,210.28,0
1614217094,100,16335,195.09,0
1614217095,100,16475,194.39,0
1614217096,100,16627,199.48,0
1614217097,100,16770,199.22,0
1614217098,100,16897,199.33,0
1614217099,100,17057,206.42,0
1614217100,100,17191,199.23,0
1614217101,100,17330,198.33,0
1614217102,100,17483,210.95,0
1614217103,100,17614,215.21,0
1614217104,100,17757,197.22,0
1614217105,100,17906,204.66,0
1614217106,100,18044,197.77,0
1614217107,100,18185,194.02,0
1614217108,100,18335,192.30,0
1614217109,100,18466,192.06,0
1614217110,100,18627,200.39,0
1614217111,100,18763,200.24,0
1614217112,100,18898,216.90,0
1614217113,100,19040,211.70,0
1614217114,100,19187,197.97,0
1614217115,100,19330,192.44,0
1614217116,100,19478,191.44,0
1614217117,100,19617,195.26,0
1614217118,100,19760,192.09,0
1614217119,100,19910,194.63,0
1614217120,100,20044,194.84,0
1614217121,100,20197,193.50,0
1614217122,100,20338,194.78,0
1614217123,100,20473,214.06,0
1614217124,100,20618,210.83,0
1614217125,100,20766,198.68,0
1614217126,100,20905,193.83,0
1614217127,100,21044,199.06,0
1614217128,100,21190,202.05,0
1614217129,100,21331,193.62,0
1614217130,100,21482,191.82,0
1614217131,110,21625,189.66,0
1614217132,110,21763,205.25,0
1614217133,110,21913,291.89,0
1614217134,110,22059,279.79,0
1614217135,110,22217,196.49,0
1614217136,110,22381,204.67,0
1614217137,110,22536,204.18,0
1614217138,110,22678,201.69,0
1614217139,110,22831,212.12,0
1614217140,110,23004,236.04,0
1614217141,110,23149,205.25,0
1614217142,110,23291,210.87,0
1614217143,110,23444,237.88,0
1614217144,110,23605,239.08,0
1614217145,110,23753,210.42,0
1614217146,110,23908,230.17,0
1614217147,110,24052,224.37,0
1614217148,110,24213,213.47,0
1614217149,110,24366,212.08,0
1614217150,110,24522,211.91,0
1614217151,110,24676,225.64,0
1614217152,110,24820,222.51,0
1614217153,110,24971,226.15,0
1614217154,110,25132,220.84,0
1614217155,110,25287,208.84,0
1614217156,110,25431,207.10,0
1614217157,110,25599,214.31,0
1614217158,110,25749,208.01,0
1614217159,110,25900,198.58,0
1614217160,110,26052,200.57,0
1614217161,110,26221,207.09,0
1614217162,110,26369,241.45,0
1614217163,110,26513,235.44,0
1614217164,110,26668,207.36,0
1614217165,110,26825,218.79,0
1614217166,110,26979,205.25,0
1614217167,110,27134,198.51,0
1614217168,110,27288,197.40,0
1614217169,110,27457,207.58,0
1614217170,110,27607,215.74,0
1614217171,110,27746,226.20,0
1614217172,110,27895,242.84,0
1614217173,110,28051,240.49,0
1614217174,110,28209,214.39,0
1614217175,110,28359,200.57,0
1614217176,110,28518,199.34,0
1614217177,110,28682,204.31,0
1614217178,110,28833,194.35,0
1614217179,110,28991,193.70,0
1614217180,110,29147,210.53,0
1614217181,110,29305,219.80,0
1614217182,110,29454,247.10,0
1614217183,110,29599,230.09,0
1614217184,110,29754,212.19,0
1614217185,110,29908,202.64,0
1614217186,110,30065,199.42,0
1614217187,110,30219,206.22,0
