#Timestamp,Adds,Deletes,Queries
1608252461,3124860,0,0
1608252482,0,0,1
1608254245,517,211,0
1608254971,0,0,1
1608258033,0,0,1
1608258201,0,0,1
1608258201,0,0,1
1608258606,0,0,1
1608259759,166,17,0
1608260401,0,0,1
1608261047,1119,186,0
1608265638,1138,182,0
1608267614,413,321,0
1608269422,423,196,0
1608271228,243,67,0
1608272608,0,0,1
1608272762,0,0,1
1608272841,0,0,1
1608273009,327,109,0
1608273438,0,0,1
1608305354,4767,3057,0
1608305674,0,0,1
1608305927,0,0,1
1608307173,188,30,0
1608309003,347,25,0
1608313207,449,897,0
1608313295,0,0,1
1608313675,0,0,1
1608314554,0,0,1
1608314990,310,315,0
1608316781,202,23,0
1608319029,494,63,0
1608340378,0,0,1
1608350633,4025,1779,0
1608352655,245,63,0
1608354564,0,0,1
1608354642,0,0,1
1608354725,0,0,1
1608355013,0,0,1
1608355208,0,0,1
1608355254,295,42,0
1608355266,0,0,1
1608357049,182,21,0
1608357207,0,0,1
1608392298,3643,1921,0
1608392484,0,0,1
1608392561,0,0,1
1608392847,0,0,1
1608392847,0,0,1
1608392848,0,0,1
1608393142,0,0,1
1608393369,0,0,1
1608393723,0,0,1
1608393763,0,0,1
1608393946,0,0,1
1608394080,227,44,0
1608394177,0,0,1
1608394334,0,0,1
1608394457,0,0,1
1608394511,0,0,1
1608394643,0,0,1
1608395012,0,0,1
1608395461,0,0,1
1608395919,189,36,0
1608396006,0,0,1
1608397012,0,0,1
1608397730,225,915,0
1608397765,0,0,1
1608397774,0,0,1
1608397774,0,0,1
1608397883,0,0,1
1608397939,0,0,1
1608399235,0,0,1
1608399548,255,185,0
1608422480,2693,556,0
1608424254,209,29,0
1608426071,169,44,0
1608427891,158,13,0
1608428611,0,0,1
1608429226,0,0,1
1608429606,0,0,1
1608429670,117,9,0
1608431447,256,50,0
1608432099,0,0,1
1608433257,131,19,0
1608435060,157,133,0
1608436834,68,33,0
1608436960,0,0,1
1608438318,0,0,1
1608438647,280,33,0
1608440434,250,46,0
1608442210,454,64,0
1608443264,0,0,1
1608443501,0,0,1
1608478050,4502,1487,0
1608479830,113,2,0
1608481455,0,0,1
1608481868,0,0,1
1608481946,256,34,0
1608482002,0,0,1
1608482070,0,0,1
1608482142,0,0,1
1608482417,0,0,1
1608483130,0,0,1
1608483284,0,0,1
1608483637,0,0,1
1608501023,2933,1905,0
1608501051,0,0,1
1608501060,0,0,1
1608502309,0,0,1
1608502461,0,0,1
1608503864,0,0,1
1608503995,0,0,1
1608504009,358,102,0
1608504079,0,0,1
1608504815,0,0,1
1608505880,0,0,1
1608505906,0,0,1
1608506154,0,0,1
1608506154,0,0,1
1608506208,406,236,0
1608506422,0,0,1
1608508005,171,44,0
1608509805,306,95,0
1608509873,0,0,1
1608510402,0,0,1
1608510413,0,0,1
1608510457,0,0,1
1608510467,0,0,1
1608511621,163,29,0
1608512242,0,0,1
1608512244,0,0,1
1608519461,1131,333,0
1608564530,5812,3880,0
1608565098,0,0,1
1608565098,0,0,1
1608565098,0,0,1
1608565172,0,0,1
1608565367,0,0,1
1608565395,0,0,1
1608566309,269,265,0
1608567759,0,0,1
1608568052,0,0,1
1608568425,0,0,1
1608568844,322,59,0
1608569046,0,0,1
1608569046,0,0,1
1608570660,209,907,0
1608570740,0,0,1
1608592439,3858,3072,0
1608593614,0,0,1
1608593872,0,0,1
1608594041,0,0,1
1608594099,0,0,1
1608594162,0,0,1
1608594223,208,66,0
1608594408,0,0,1
1608594524,0,0,1
1608594598,0,0,1
1608594749,0,0,1
1608594950,0,0,1
1608596046,214,69,0
1608597817,278,121,0
1608599616,268,72,0
1608604204,652,280,0
1608604219,0,0,1
1608605276,0,0,1
1608605276,0,0,1
1608605414,0,0,1
1608605572,0,0,1
1608605981,215,65,0
1608607754,236,103,0
1608609398,0,0,1
1608609411,0,0,1
1608609452,0,0,1
1608609961,277,56,0
1608611754,273,150,0
1608613581,209,89,0
1608613978,0,0,1
1608613990,0,0,1
1608614019,0,0,1
1608614317,0,0,1
1608614507,0,0,1
1608614832,0,0,1
1608615385,165,188,0
1608616424,0,0,1
1608616589,0,0,1
1608616858,0,0,1
1608616932,0,0,1
1608617201,214,79,0
1608617216,0,0,1
1608617343,0,0,1
1608617379,0,0,1
1608617528,0,0,1
1608617686,0,0,1
1608617854,0,0,1
1608617922,0,0,1
1608617922,0,0,1
1608617945,0,0,1
1608617963,0,0,1
1608618301,0,0,1
1608618603,0,0,1
1608619015,0,0,1
1608619018,209,62,0
1608653638,4812,2956,0
1608655684,0,0,1
1608655713,0,0,1
1608656617,0,0,1
1608658149,651,1104,0
1608658708,0,0,1
1608658856,0,0,1
1608658871,0,0,1
1608658872,0,0,1
1608658872,0,0,1
1608658894,0,0,1
1608658973,0,0,1
1608659571,0,0,1
1608659855,0,0,1
1608659978,325,72,0
1608660230,0,0,1
1608661590,0,0,1
1608661593,0,0,1
1608661791,369,156,0
1608663584,226,313,0
1608663896,0,0,1
1608664738,0,0,1
1608665087,0,0,1
1608665367,345,124,0
1608677895,0,0,1
1608677920,0,0,1
1608678328,0,0,1
1608678651,0,0,1
1608679089,2181,809,0
1608679236,0,0,1
1608680224,0,0,1
1608680885,305,61,0
1608682676,336,91,0
1608684474,376,308,0
1608686242,0,0,1
1608686244,269,202,0
1608686378,0,0,1
1608686387,0,0,1
1608687256,0,0,1
1608688025,119,98,0
1608689701,0,0,1
1608689731,0,0,1
1608689814,0,0,1
1608689816,212,84,0
1608691598,192,51,0
1608693406,197,34,0
1608695990,0,0,1
1608696875,0,0,1
1608697284,519,194,0
1608697650,0,0,1
1608697692,0,0,1
1608698822,0,0,1
1608698822,0,0,1
1608698853,0,0,1
1608699087,192,253,0
1608699519,0,0,1
1608699694,0,0,1
1608699855,0,0,1
1608700091,0,0,1
1608700147,0,0,1
1608700147,0,0,1
1608700262,0,0,1
1608700668,0,0,1
1608700668,0,0,1
1608700899,214,46,0
1608700930,0,0,1
1608702164,0,0,1
1608702723,300,221,0
1608744580,0,0,1
1608745426,5545,4473,0
1608747234,305,209,0
1608747803,0,0,1
1608748561,0,0,1
1608748747,0,0,1
1608749050,218,33,0
1608749392,0,0,1
1608749752,0,0,1
1608750137,0,0,1
1608750588,0,0,1
1608750821,295,104,0
1608751084,0,0,1
1608751418,0,0,1
1608751787,0,0,1
1608752038,0,0,1
1608752220,0,0,1
1608752340,0,0,1
1608752625,214,33,0
1608752689,0,0,1
1608753005,0,0,1
1608756512,669,65,0
1608756744,0,0,1
1608757446,0,0,1
1608757446,0,0,1
1608757568,0,0,1
1608757725,0,0,1
1608757940,0,0,1
1608758166,0,0,1
1608758338,170,34,0
1608758779,0,0,1
1608769215,1731,1139,0
1608769316,0,0,1
1608769633,0,0,1
1608770289,0,0,1
1608771004,168,251,0
1608772198,0,0,1
1608772811,289,41,0
1608773856,0,0,1
1608774588,193,36,0
1608776360,203,63,0
1608778054,0,0,1
1608778150,259,52,0
1608779963,139,14,0
1608779997,0,0,1
1608781770,297,118,0
1608783252,0,0,1
1608783583,188,172,0
1608785076,0,0,1
1608785580,418,113,0
1608786537,0,0,1
1608787409,264,190,0
1608789207,216,83,0
1608801531,1485,1227,0
1608832070,3565,3172,0
1608836513,716,236,0
1608838442,284,168,0
1608843178,0,0,1
1608847499,1538,712,0
1608847501,0,0,1
1608853690,0,0,1
1608855351,0,0,1
1608856870,1144,580,0
1608856877,0,0,1
1608857005,0,0,1
1608857737,0,0,1
1608859500,517,211,0
1608860226,0,0,1
1608863288,0,0,1
1608863456,0,0,1
1608863456,0,0,1
1608863861,0,0,1
1608865014,166,17,0
1608865656,0,0,1
1608866302,1119,186,0
1608870893,1138,182,0
1608872869,413,321,0
1608874677,423,196,0
1608876483,243,67,0
1608877863,0,0,1
1608878017,0,0,1
1608878096,0,0,1
1608878264,327,109,0
1608878693,0,0,1
1608910609,4767,3057,0
1608910929,0,0,1
1608911182,0,0,1
1608912428,188,30,0
1608914258,347,25,0
1608918462,449,897,0
1608918550,0,0,1
1608918930,0,0,1
1608919809,0,0,1
1608920245,310,315,0
1608922036,202,23,0
1608924284,494,63,0
1608945633,0,0,1
1608955888,4025,1779,0
1608957910,245,63,0
1608959819,0,0,1
1608959897,0,0,1
1608959980,0,0,1
1608960268,0,0,1
1608960463,0,0,1
1608960509,295,42,0
1608960521,0,0,1
1608962304,182,21,0
1608962462,0,0,1
1608997553,3643,1921,0
1608997739,0,0,1
1608997816,0,0,1
1608998102,0,0,1
1608998102,0,0,1
1608998103,0,0,1
1608998397,0,0,1
1608998624,0,0,1
1608998978,0,0,1
1608999018,0,0,1
1608999201,0,0,1
1608999335,227,44,0
1608999432,0,0,1
1608999589,0,0,1
1608999712,0,0,1
1608999766,0,0,1
1608999898,0,0,1
1609000267,0,0,1
1609000716,0,0,1
1609001174,189,36,0
1609001261,0,0,1
1609002267,0,0,1
1609002985,225,915,0
1609003020,0,0,1
1609003029,0,0,1
1609003029,0,0,1
1609003138,0,0,1
1609003194,0,0,1
1609004490,0,0,1
1609004803,255,185,0
1609027735,2693,556,0
1609029509,209,29,0
1609031326,169,44,0
1609033146,158,13,0
1609033866,0,0,1
1609034481,0,0,1
1609034861,0,0,1
1609034925,117,9,0
1609036702,256,50,0
1609037354,0,0,1
1609038512,131,19,0
1609040315,157,133,0
1609042089,68,33,0
1609042215,0,0,1
1609043573,0,0,1
1609043902,280,33,0
1609045689,250,46,0
1609047465,454,64,0
1609048519,0,0,1
1609048756,0,0,1
1609083305,4502,1487,0
1609085085,113,2,0
1609086710,0,0,1
1609087123,0,0,1
1609087201,256,34,0
1609087257,0,0,1
1609087325,0,0,1
1609087397,0,0,1
1609087672,0,0,1
1609088385,0,0,1
1609088539,0,0,1
1609088892,0,0,1
1609106278,2933,1905,0
1609106306,0,0,1
1609106315,0,0,1
1609107564,0,0,1
1609107716,0,0,1
1609109119,0,0,1
1609109250,0,0,1
