WeekOf,Malware sites detected,Phishing sites detected,Malware sites number,Phishing sites number,Attack sites,Compromised sites,Browser warnings,Search warnings,Webmaster response time,Reinfection rate
2008-06-15,20413,3769,160161,22035,361,20085,,,20,18
2008-06-22,27625,3901,141379,17104,373,27289,,,19,21
2008-06-29,32133,4161,128391,17063,393,31783,,,19,25
2008-07-06,35622,4018,121492,17503,424,35241,,,20,28
2008-07-13,38524,3735,120707,18064,399,38160,,,21,28
2008-07-20,40078,4602,125023,18467,390,39722,,,20,27
2008-07-27,37856,4467,129565,18832,395,37494,,,20,27
2008-08-03,34036,4162,131407,18541,342,33724,,,21,24
2008-08-10,32198,4162,131719,18059,295,31934,,,21,23
2008-08-17,34084,4213,134612,17752,286,33826,,,19,22
2008-08-24,33150,3310,139176,17293,266,32911,,,20,23
2008-08-31,28968,3531,137277,16839,249,28746,,,20,23
2008-09-07,28287,3697,133638,16766,256,28054,,,22,25
2008-09-14,27971,3835,131088,16828,256,27735,,,25,24
2008-09-21,23257,3903,127548,17054,270,23008,,,29,24
2008-09-28,22458,3745,123629,17369,252,22223,,,31,23
2008-10-05,23303,3725,126669,17652,242,23081,,,32,23
2008-10-12,20494,3780,130121,17891,240,20273,,,30,23
2008-10-19,21056,3946,133666,18205,230,20845,,,27,24
2008-10-26,21979,4224,138843,18641,211,21786,,,26,25
2008-11-02,22298,6689,143234,19546,219,22096,,,22,27
2008-11-09,26784,6766,146827,19829,230,26573,,,20,26
2008-11-16,29663,6703,151715,20045,238,29447,,,17,27
2008-11-23,30700,6533,155082,20135,255,30468,,,17,26
2008-11-30,29023,6466,154034,20170,285,28763,,,16,24
2008-12-07,28161,4350,151716,19775,331,27856,,,18,22
2008-12-14,24377,4305,148839,19968,346,24056,,,19,23
2008-12-21,24315,4664,146053,20198,355,23986,,,21,24
2008-12-28,23161,4564,145125,20318,331,22855,,,21,26
2009-01-04,26891,4903,145641,20487,326,26590,,,23,28
2009-01-11,30167,4851,149139,20703,294,29899,,,23,28
2009-01-18,33930,4878,154303,20871,292,33664,,,24,28
2009-01-25,36583,4848,160915,21330,290,36319,,,25,28
2009-02-01,36640,5290,166809,22372,303,36362,,,25,27
2009-02-08,32335,5411,171329,23377,297,32061,,,23,25
2009-02-15,29267,5703,172541,24432,290,28998,,,21,24
2009-02-22,26753,6509,171486,26058,313,26459,,,19,25
2009-03-01,26970,6498,169698,27930,335,26654,,,17,25
2009-03-08,28120,6927,166607,29795,342,27799,,,16,27
2009-03-15,31720,7287,165059,32070,363,31380,,,16,26
2009-03-22,34233,13608,165546,36740,395,33864,,,15,26
2009-03-29,33153,16892,164851,39848,442,32740,,,15,25
2009-04-05,29741,18491,161768,43304,417,29348,,,15,24
2009-04-12,30611,17923,159279,46471,474,30162,,,14,23
2009-04-19,32679,17548,157982,48694,508,32214,,,14,24
2009-04-26,34445,11827,157168,47899,511,33987,,,13,26
2009-05-03,35720,8824,158013,47735,463,35326,,,13,28
2009-05-10,40271,8241,159616,46844,490,39864,,,12,30
2009-05-17,55139,9460,167366,46166,490,54742,,,13,31
2009-05-24,57299,10628,177435,47137,440,56932,,,13,31
2009-05-31,61376,11631,187020,49339,437,61011,,,14,31
2009-06-07,70676,12273,198790,52638,476,70265,,,16,31
2009-06-14,76845,12173,213813,55785,450,76451,,,17,31
2009-06-21,70557,12934,227503,59481,428,70183,,,18,30
2009-06-28,63774,11686,234303,61114,393,63435,,,19,30
2009-07-05,64981,11010,241228,61249,424,64605,,,20,30
2009-07-12,59036,11524,246362,61065,444,58633,,,21,31
2009-07-19,55616,11729,250013,61002,513,55147,,,22,30
2009-07-26,58650,10504,254278,59382,531,58163,,,22,32
2009-08-02,69663,10904,266576,58593,610,69100,,,23,32
2009-08-09,68370,11867,279481,59574,637,67786,,,23,31
2009-08-16,74659,10719,295330,58487,618,74097,,,24,30
2009-08-23,70778,10781,310541,57323,669,70167,,,24,28
2009-08-30,62228,11624,320428,57474,745,61538,,,24,27
2009-09-06,54080,12041,324192,58250,758,53378,,,23,26
2009-09-13,46355,11564,320973,57410,722,45683,,,21,27
2009-09-20,44421,11407,310784,58183,757,43713,,,19,28
2009-09-27,47706,11534,299363,58748,724,47027,,,17,32
2009-10-04,45258,11068,285284,59102,683,44619,,,16,35
2009-10-11,53292,10892,272941,58441,703,52632,,,14,40
2009-10-18,57970,10380,264624,57407,790,57236,,,14,40
2009-10-25,54864,10441,259633,56347,823,54105,,,15,39
2009-11-01,53361,10966,257955,55610,819,52607,,,16,37
2009-11-08,59347,10373,261168,53890,978,58465,,,18,35
2009-11-15,57076,11034,267971,53401,1081,56108,,,20,30
2009-11-22,53084,11356,275342,54427,1173,52035,,,21,28
2009-11-29,48515,11517,281171,55347,1279,47376,,,22,28
2009-12-06,43867,10088,280703,55107,1339,42681,,,21,27
2009-12-13,38306,10671,276558,55245,1306,37145,,,21,25
2009-12-20,29582,10797,267024,54477,1319,28403,,,21,24
2009-12-27,27491,9898,256232,52814,1218,26387,,,23,25
2010-01-03,24961,10949,245448,50179,1111,23935,,,23,26
2010-01-10,22993,11659,237432,47634,1142,21920,,,23,26
2010-01-17,18098,12211,230252,44933,1095,17045,,,22,27
2010-01-24,17205,10688,223956,41316,1059,16179,,,22,27
2010-01-31,23772,10939,222067,37530,1166,22649,,,19,28
2010-02-07,29323,9518,226279,34794,1247,28140,,,18,27
2010-02-14,31272,9060,231479,32766,1272,30089,,,17,26
2010-02-21,35012,8470,234664,31976,1412,33722,,,17,26
2010-02-28,38565,8771,238892,31821,1537,37163,,,17,26
2010-03-07,33949,8316,239233,32040,1699,32395,,,17,25
2010-03-14,31452,8961,234659,32640,1862,29730,,,16,24
2010-03-21,33708,8415,231447,33550,2074,31811,,,16,27
2010-03-28,38262,7801,233542,33256,2185,36292,,,17,28
2010-04-04,46553,8128,239300,33328,2333,44505,,,18,30
2010-04-11,47732,8256,247363,33542,2330,45790,,,20,28
