#Original SB trace
#Timestamp,Adds,Deletes,Queries,ServerTime,ClientTime,Comm
1608252461,3124860,0,0,0,0,5272661
1608252482,0,0,1,0,0,360
1608254245,517,211,0,0,0,3182
1608254971,0,0,1,0,0,360
1608258033,0,0,1,0,0,360
1608258201,0,0,1,0,0,360
1608258201,0,0,1,0,0,360
1608258606,0,0,1,0,0,150
1608259759,166,17,0,0,0,1565
1608260401,0,0,1,0,0,360
1608261047,1119,186,0,0,0,7176
1608265638,1138,182,0,0,0,5580
1608267614,413,321,0,0,0,3082
1608269422,423,196,0,0,0,3005
1608271228,243,67,0,0,0,2012
1608272608,0,0,1,0,0,360
1608272762,0,0,1,0,0,360
1608272841,0,0,1,0,0,360
1608273009,327,109,0,0,0,2279
1608273438,0,0,1,0,0,360
1608305354,4767,3057,0,0,0,26304
1608305674,0,0,1,0,0,360
1608305927,0,0,1,0,0,360
1608307173,188,30,0,0,0,1603
1608309003,347,25,0,0,0,2808
1608313207,449,897,0,0,0,4901
1608313295,0,0,1,0,0,360
1608313675,0,0,1,0,0,150
1608314554,0,0,1,0,0,360
1608314990,310,315,0,0,0,2668
1608316781,202,23,0,0,0,1508
1608319029,494,63,0,0,0,2606
1608340378,0,0,1,0,0,360
1608350633,4025,1779,0,0,0,24082
1608352655,245,63,0,0,0,2284
1608354564,0,0,1,0,0,360
1608354642,0,0,1,0,0,360
1608354725,0,0,1,0,0,360
1608355013,0,0,1,0,0,360
1608355208,0,0,1,0,0,360
1608355254,295,42,0,0,0,6058
1608355266,0,0,1,0,0,360
1608357049,182,21,0,0,0,1766
1608357207,0,0,1,0,0,360
1608392298,3643,1921,0,0,0,22472
1608392484,0,0,1,0,0,360
1608392561,0,0,1,0,0,360
1608392847,0,0,1,0,0,360
1608392847,0,0,1,0,0,360
1608392848,0,0,1,0,0,360
1608393142,0,0,1,0,0,360
1608393369,0,0,1,0,0,360
1608393723,0,0,1,0,0,150
1608393763,0,0,1,0,0,360
1608393946,0,0,1,0,0,360
1608394080,227,44,0,0,0,2107
1608394177,0,0,1,0,0,360
1608394334,0,0,1,0,0,360
1608394457,0,0,1,0,0,360
1608394511,0,0,1,0,0,360
1608394643,0,0,1,0,0,360
1608395012,0,0,1,0,0,360
1608395461,0,0,1,0,0,360
1608395919,189,36,0,0,0,1541
1608396006,0,0,1,0,0,360
1608397012,0,0,1,0,0,360
1608397730,225,915,0,0,0,4165
1608397765,0,0,1,0,0,360
1608397774,0,0,1,0,0,360
1608397774,0,0,1,0,0,360
1608397883,0,0,1,0,0,360
1608397939,0,0,1,0,0,360
1608399235,0,0,1,0,0,360
1608399548,255,185,0,0,0,2149
1608422480,2693,556,0,0,0,12699
1608424254,209,29,0,0,0,2043
1608426071,169,44,0,0,0,1646
1608427891,158,13,0,0,0,1444
1608428611,0,0,1,0,0,360
1608429226,0,0,1,0,0,360
1608429606,0,0,1,0,0,360
1608429670,117,9,0,0,0,1311
1608431447,256,50,0,0,0,2222
1608432099,0,0,1,0,0,360
1608433257,131,19,0,0,0,1983
1608435060,157,133,0,0,0,2583
1608436834,68,33,0,0,0,1355
1608436960,0,0,1,0,0,360
1608438318,0,0,1,0,0,360
1608438647,280,33,0,0,0,1932
1608440434,250,46,0,0,0,1988
1608442210,454,64,0,0,0,2865
1608443264,0,0,1,0,0,360
1608443501,0,0,1,0,0,360
1608478050,4502,1487,0,0,0,22062
1608479830,113,2,0,0,0,1245
1608481455,0,0,1,0,0,360
1608481868,0,0,1,0,0,360
1608481946,256,34,0,0,0,1805
1608482002,0,0,1,0,0,360
1608482070,0,0,1,0,0,360
1608482142,0,0,1,0,0,360
1608482417,0,0,1,0,0,360
1608483130,0,0,1,0,0,360
1608483284,0,0,1,0,0,360
1608483637,0,0,1,0,0,360
1608501023,2933,1905,0,0,0,15838
1608501051,0,0,1,0,0,360
1608501060,0,0,1,0,0,360
1608502309,0,0,1,0,0,360
1608502461,0,0,1,0,0,360
1608503864,0,0,1,0,0,360
1608503995,0,0,1,0,0,360
1608504009,358,102,0,0,0,2318
1608504079,0,0,1,0,0,360
1608504815,0,0,1,0,0,360
1608505880,0,0,1,0,0,360
1608505906,0,0,1,0,0,360
1608506154,0,0,1,0,0,360
1608506154,0,0,1,0,0,360
1608506208,406,236,0,0,0,3704
1608506422,0,0,1,0,0,150
1608508005,171,44,0,0,0,1828
1608509805,306,95,0,0,0,2325
1608509873,0,0,1,0,0,150
