# benchmark_updates -numRows=3000000 -updateSize=30000 -numUpdates=202 -pirType=Punc
     NumUpdates  UpdateServerTime[us]  UpdateClientTime[us]           UpdateBytes    ClientBytes  OnlineServerTime[us]  OnlineClientTime[us]    OnlineBytes
        3600000                   220                 92803                154537              0                   858                   439           9505
        3630000                   274                 91522                154547              0                   927                   419           9979
        3660000                430143                641861               1280130              0                   281                   342           2157
        3690000                   239                 91916                154568              0                   301                   369           4968
        3720000                   222                 89894                154576              0                   420                   396           6117
        3750000                   242                 96749                154578              0                   522                   428           7001
        3780000                   215                100721                154556              0                   569                   436           7743
        3810000                   221                315733                154586              0                  2075                 33298           8399
        3840000                   231                 88926                154584              0                   679                   527           8989
        3870000                   232                 89447                154575              0                   758                   433           9535
        3900000                   236                 95523                154569              0                   847                   521          10034
        3930000                   239                 93836                154582              0                   903                   512          10511
        3960000                875338                634823               1744363              0                   228                   310           2189
        3990000                   228               1047445                154565              0                   456                   449           4999
        4020000                   241                 94125                154579              0                   389                   445           6149
        4050000                   201                 99164                154566              0                   472                   422           7035
        4080000                   235                107067                154558              0                   621                   457           7773
        4110000                   217                100209                154576              0                   651                   420           8431
        4140000                   245                256015                154559              0                   666                   369           9021
        4170000                   226                112278                154560              0                   803                   426           9563
        4200000                   248                 93454                154574              0                   837                   433          10073
        4230000                   230                101445                154590              0                   937                   499          10547
        4260000                384671                325110               1280147              0                   274                   435           2725
        4290000                   250                234000                154584              0                   368                  2101           5539
        4320000                   640                101347                154605              0                   411                   415           6679
        4350000                   216                103735                154616              0                   486                   434           7561
        4380000                   254                 96788                154600              0                   575                   433           8310
        4410000                   228                189620                154625              0                   676                   465           8963
        4440000                   207               1079635                154626              0                   674                   345           9557
        4470000                   270                 99326                154607              0                   789                   455          10097
        4500000                   222                128649                154598              0                   852                   501          10609
        4530000                   209                101900                154621              0                  1032                   341          11070
        4560000               1682218               1366146               2402843              0                   470                   358           2187
        4590000                   295                720666                154563              0                   316                   373           4999
        4620000                   235                104619                154562              0                   398                   416           6148
        4650000                   217                111940                154566              0                   527                   579           7033
        4680000                   231                128744                154589              0                   564                   450           7773
        4710000                   391                277970                154593              0                   664                   478           8429
        4740000                   220                106109                154593              0                   754                   499           9021
        4770000                   246                109871                154568              0                   798                   592           9568
        4800000                   224                108358                154569              0                   908                   462          10073
        4830000                   301                119775                154575              0                   941                   381          10545
        4860000                422861                667187               1280155              0                   378                   522           2727
        4890000                   352                414824                154589              0                   370                   385           5537
        4920000                   228                109469                154586              0                   454                   395           6685
        4950000                   233                103523                154609              0                   586                   312           7569
        4980000                   274                111062                154624              0                   700                   343           8310
        5010000                   225                206140                154601              0                   652                   472           8961
        5040000                   228               1154521                154618              0                   840                   475           9555
        5070000                   212                108732                154615              0                   826                   371          10102
        5100000                   214                111251                154650              0                   899                   476          10609
        5130000                   231                127207                154603              0                   973                   377          11075
        5160000                877322                652453               1744380              0                   275                   322           2759
        5190000                   227                251897                154583              0                   306                   301           5565
        5220000                   224                107283                154603              0                   443                   510           6717
        5250000                   224                117155                154618              0                   491                   326           7601
        5280000                   220                120793                154591              0                   663                   461           8345
        5310000                   216                133668                154617              0                   717                   450           8997
        5340000                   253                297189                154619              0                   834                   561           9589
        5370000                   229                109608                154601              0                   876                   500          10127
        5400000                   216                120025                154619              0                   924                   523          10640
        5430000                   262                119317                154624              0                  1000                   380          11117
        5460000                389313                349888               1280196              0                   283                   265           3299
        5490000                   224                280999                154644              0                   377                   428           6099
        5520000                   232                113050                154641              0                   406                   393           7248
        5550000                   243                117598                154653              0                   524                   312           8135
        5580000                   230                124853                154648              0                   729                   462           8873
        5610000                   256                118693                154637              0                   711                   508           9532
        5640000                   252                252522                154623              0                   776                   388          10125
        5670000                   251                114727                154662              0                   926                   464          10666
        5700000                   211                117574                154637              0                   967                   356          11164
        5730000                   218                116270                154641              0                   999                   555          11647
        5760000               3833629               4413704               3337064              0                   242                   342           2225
        5790000                   217                115206                154567              0                   341                   412           5033
        5820000                   236                123202                154561              0                   483                   454           6185
        5850000                   234                118055                154589              0                   495                   406           7069
        5880000                   230                120756                154575              0                   563                   352           7810
        5910000                   237                265732                154585              0                   650                   395           8465
        5940000                   232                113709                154584              0                   683                   408           9056
        5970000                   211                123210                154578              0                   850                   410           9600
        6000000                   224                128682                154578              0                   900                   441          10104
        6030000                   225                126165                154575              0                  1024                   459          10581
