# benchmark_updates -numRows=2000000 -pirType=Matrix
     NumUpdates  UpdateServerTime[us]  UpdateClientTime[us]           UpdateBytes    ClientBytes  OnlineServerTime[us]  OnlineClientTime[us]    OnlineBytes
         114000                    23                 54831                  5596              0                  6426                   452          33352
         115000                    22                 34244                  5592              0                  6522                   412          33356
         116000                    19                 34118                  5592              0                  6418                   454          33360
         117000                    20                 54609                  5590              0                  6867                   459          33364
         118000                    23                 34858                  5594              0                  6742                   428          33368
         119000                    24                 34578                  5594              0                  6631                   419          33372
         120000                    23                 34673                  5590              0                  7438                   663          33376
         121000                    20                 35234                  5592              0                  6532                   456          33380
         122000                    21                 35198                  5593              0                  6514                   431          33384
         123000                    23                 36131                  5589              0                  6878                   466          33388
         124000                    21                 34596                  5596              0                  6407                   438          33392
         125000                    20                 34771                  5590              0                  6272                   440          33396
         126000                    23                 34418                  5592              0                  7803                   673          33400
         127000                    21                 34625                  5592              0                  6716                   455          33404
         128000                    21                 35424                  5592              0                  6718                   423          33408
         129000                    43                 56949                  5593              0                  6407                   468          33412
         130000                    22                 34854                  5595              0                  6564                   431          33416
         131000                    23                 34841                  5590              0                  6442                   429          33420
         132000                    24                312164                  5593              0                  6504                   456          33424
         133000                    20                 34433                  5593              0                  6466                   404          33428
         134000                    24                 34387                  5588              0                  7165                   468          33432
         135000                    20                 54676                  5594              0                  6664                   465          33436
         136000                    23                 34432                  5590              0                  6538                   428          33440
         137000                    22                 35358                  5592              0                  6688                   418          33444
         138000                    34                171464                  5594              0                  6664                   539          33448
         139000                    23                 35377                  5593              0                  6942                   449          33452
         140000                    23                 34715                  5593              0                  6396                   403          33456
         141000                    21                 55190                  5594              0                  6765                   461          33460
         142000                    23                 34976                  5593              0                  6513                   412          33464
         143000                    23                 35263                  5592              0                  6694                   435          33468
         144000                    21                 52220                  5596              0                  6372                   442          33472
         145000                    22                 34585                  5594              0                  6458                   445          33474
         146000                    24                 34767                  5589              0                  6489                   428          33478
         147000                    21                 35486                  5592              0                  6398                   454          33482
         148000                    29                171129                  5593              0                  6796                   455          33486
         149000                    23                 35023                  5594              0                  6486                   427          33490
         150000                    32                 34212                  5591              0                  6541                   437          33494
         151000                    24                 52903                  5591              0                  6578                   456          33498
         152000                    24                 34970                  5592              0                  6447                   447          33502
         153000                    21                 35407                  5591              0                  6650                   471          33506
         154000                    26                 36184                  5593              0                  7967                   713          33510
         155000                    21                 35498                  5596              0                  6691                   459          33514
         156000                    20                 34983                  5593              0                  6503                   453          33518
         157000                    22                 35070                  5593              0                  7609                   671          33522
         158000                    20                 34797                  5590              0                  6404                   415          33526
         159000                    21                 35333                  5594              0                  6495                   423          33530
         160000                    22                 35624                  5593              0                  6762                   457          33534
         161000                    21                 36175                  5590              0                  6307                   458          33538
         162000                    20                 35450                  5591              0                  6406                   426          33542
         163000                    24                 52129                  5591              0                  6705                   473          33546
         164000                    22                 37378                  5591              0                  6408                   505          33550
         165000                    20                 36499                  5594              0                  6285                   447          33554
         166000                    21                 39637                  5592              0                  6577                   428          33558
         167000                    25                299517                  5594              0                  6461                   448          33562
         168000                    23                 38402                  5592              0                  6708                   453          33566
         169000                    30                 40948                  5595              0                  6352                   446          33570
         170000                    25                 42520                  5590              0                  6197                   484          33574
         171000                    21                 39700                  5590              0                  6607                   435          33578
         172000                    23                 68583                  5592              0                  6960                   462          33580
         173000                    23                 46037                  5592              0                  8856                   755          33584
         174000                    29                 40916                  5592              0                  6242                   502          33588
         175000                    21                 61436                  5592              0                  6681                   475          33592
         176000                    23                 42216                  5590              0                  6965                   490          33596
         177000                    24                 39158                  5590              0                  7717                   466          33600
         178000                    23                 37655                  5590              0                  8077                   757          33604
         179000                    22                 47611                  5593              0                  7398                   472          33608
         180000                    47                 42852                  5593              0                  8297                   880          33612
         181000                    21                 69793                  5593              0                  6771                   477          33616
         182000                    22                 40377                  5590              0                  6972                   444          33620
         183000                    24                 41298                  5594              0                  8790                   519          33624
         184000                    26                371652                  5590              0                  9048                   531          33628
         185000                    23                 46756                  5593              0                  6400                   482          33632
         186000                    23                 41420                  5589              0                  7847                   775          33636
         187000                    22                 60955                  5594              0                  7364                   483          33640
         188000                    23                 43203                  5592              0                  9748                   475          33644
         189000                    21                 41852                  5590              0                  6810                   458          33648
         190000                    24                 61057                  5592              0                  9032                   493          33652
         191000                    23                 45489                  5591              0                  6739                   461          33656
         192000                    28                 39047                  5594              0                  7240                   829          33660
         193000                    28                 46357                  5595              0                  7514                   478          33662
         194000                    21                 41578                  5591              0                  6945                   514          33668
         195000                    32                 37142                  5589              0                  6693                   498          33672
         196000                    21                 36165                  5593              0                  6523                   425          33674
         197000                    21                 36584                  5591              0                  6877                   447          33678
         198000                    22                 36196                  5591              0                  6920                   446          33682
         199000                    20                 37412                  5593              0                  6672                   501          33686
         200000                    21                 35723                  5588              0                  6509                   432          33690
         201000                    21                 36260                  5587              0                  6773                   418          33694
         202000                    25                 36406                  5589              0                  6627                   447          33698
         203000                    21                 37390                  5594              0                  7203                   458          33702
         204000                    21                 38251                  5594              0                  6750                   427          33706
         205000                    23                 54825                  5594              0                  6781                   483          33710
         206000                    23                 36113                  5590              0                  6855                   462          33714
         207000                    24                 37638                  5592              0                  6676                   435          33718
         208000                    21                 39996                  5595              0                  6610                   426          33722
         209000                    22                 35951                  5589              0                  6422                   422          33726
         210000                    22                 37042                  5595              0                  6496                   426          33730
         211000                    20                 36835                  5586              0                  6869                   483          33734
         212000                    22                 37905                  5592              0                  6823                   418          33738
         213000                    20                 37031                  5589              0                  6893                   447          33742
         214000                    18                 59577                  5592              0                  7029                   479          33744
         215000                    23                 36798                  5593              0                  7272                   425          33748
         216000                    37                 37198                  5591              0                  7079                   468          33752
         217000                    20                 57759                  5590              0                  6649                   465          33756
         218000                    23                 35895                  5594              0                  6902                   424          33760
         219000                    23                 37015                  5593              0                  6681                   490          33764
         220000                    22                 38399                  5592              0                  6696                   451          33768
         221000                    25                195460                  5592              0                  6850                   466          33772
         222000                    21                 37515                  5588              0                  6977                   454          33776
         223000                    19                 37448                  5589              0                  6761                   475          33780
         224000                    29                173912                  5594              0                  6886                   459          33784
         225000                    23                 36988                  5593              0                  6879                   426          33788
         226000                    22                 41591                  5596              0                  7217                   447          33792
         227000                    23                349988                  5593              0                  6933                   449          33796
         228000                    24                 37086                  5594              0                  6749                   424          33800
         229000                    20                 37604                  5591              0                  7072                   441          33804
         230000                    28                176502                  5592              0                  6707                   581          33808
         231000                    22                 36734                  5587              0                  6753                   421          33812
         232000                    19                 36837                  5588              0                  6736                   426          33816
         233000                    22                 37169                  5586              0                  6763                   431          33820
         234000                    20                 38584                  5593              0                  7013                   456          33822
         235000                    23                 38084                  5590              0                  6709                   442          33826
         236000                    21                 37899                  5593              0                  6985                   433          33830
         237000                    22                 37657                  5588              0                  6968                   411          33834
         238000                    19                 37930                  5593              0                  8408                   722          33838
         239000                    20                 36560                  5593              0                  6690                   426          33842
         240000                    20                 36980                  5594              0                  6559                   434          33846
         241000                    23                 39670                  5593              0                  6769                   436          33850
         242000                    29                293993                  5595              0                  6880                   454          33854
         243000                    26                 37377                  5592              0                  6663                   491          33858
         244000                    23                 37752                  5588              0                  6915                   494          33862
         245000                    30                179585                  5591              0                  7104                   483          33866
         246000                    22                 37845                  5594              0                  6593                   420          33870
         247000                    24                 36435                  5593              0                  7771                   663          33874
         248000                    21                 36255                  5592              0                  6722                   441          33878
         249000                    27                 36655                  5594              0                  6650                   426          33882
         250000                    42                175184                  5589              0                  6716                   451          33884
         251000                    22                 36735                  5593              0                  6603                   410          33888
         252000                    20                 37006                  5591              0                  6690                   434          33892
         253000                    21                 36997                  5595              0                  6457                   428          33896
         254000                    34                 37266                  5588              0                  6623                   408          33900
         255000                    20                 55443                  5588              0                  8104                   749          33904
         256000                    28                 36687                  5594              0                  6586                   431          33908
         257000                    20                 37031                  5595              0                  6808                   409          33912
         258000                    25                 78279                  5594              0                  8158                   679          33916
         259000                    23                 37362                  5595              0                  6946                   438          33920
         260000                    23                 37779                  5594              0                  7122                   462          33924
         261000                    22                 36584                  5594              0                  6630                   447          33928
         262000                    22                 36063                  5589              0                  6716                   471          33932
         263000                    21                 36357                  5590              0                  6665                   441          33936
         264000                    20                 55468                  5589              0                  7218                   453          33940
         265000                    21                 36336                  5591              0                  6700                   417          33944
         266000                    23                 36643                  5593              0                  6786                   424          33948
         267000                    22                 56885                  5593              0                  6866                   497          33950
         268000                    23                 36757                  5590              0                  6502                   441          33954
         269000                    22                 36906                  5590              0                  6712                   435          33958
         270000                    30                 40999                  5589              0                  6907                   523          33962
         271000                    22                 36912                  5592              0                  6861                   422          33966
         272000                    21                 36462                  5591              0                  6735                   449          33970
         273000                    25                 78589                  5591              0                  6927                   466          33974
         274000                    22                 36748                  5591              0                  6767                   438          33978
         275000                    19                 36771                  5590              0                  6996                   435          33982
         276000                    21                 38908                  5592              0                  6700                   451          33986
         277000                    21                 36689                  5593              0                  6735                   456          33990
         278000                    19                 36838                  5593              0                  6671                   456          33994
         279000                    21                 36614                  5590              0                  7843                   876          33998
         280000                    20                 36269                  5593              0                  6654                   416          34002
         281000                    28                 37042                  5595              0                  6935                   481          34004
         282000                    20                 59947                  5588              0                  7050                   458          34008
         283000                    20                 37409                  5594              0                  6823                   406          34012
         284000                    23                 37826                  5594              0                  6779                   442          34016
         285000                    22                 57003                  5594              0                  6868                   462          34020
         286000                    21                 37444                  5594              0                  6756                   424          34024
         287000                    23                 37640                  5586              0                  6860                   426          34028
